date,location,latitude,longitude,river_discharge,precipitation
2020-04-16 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.0941124,
2020-04-17 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.1550047,
2020-04-18 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,4.8748937,
2020-04-19 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.4994519,
2020-04-20 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,3.6881337,
2020-04-21 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.0338912,
2020-04-22 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.4673686,
2020-04-23 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,3.655861,
2020-04-24 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,6.3113914,
2020-04-25 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,3.4668355,
2020-04-26 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.9719152,
2020-04-27 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.9716659,
2020-04-28 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.5318315,
2020-04-29 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.5318315,
2020-04-30 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.9376497,
2020-05-01 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.9376497,
2020-05-02 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.7797134,
2020-05-03 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.4660392,
2020-05-04 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.0941124,
2020-05-05 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.0338912,
2020-05-06 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.2210689,
2020-05-07 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.5003455,
2020-05-08 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.0606298,
2020-05-09 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.8749945,
2020-05-10 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.7498467,
2020-05-11 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.7179084,
2020-05-12 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.65576994,
2020-05-13 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.1232445,
2020-05-14 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.032357,
2020-05-15 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.032357,
2020-05-16 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.9054607,
2020-05-17 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.8113401,
2020-05-18 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.7179084,
2020-05-19 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.7179084,
2020-05-20 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,6.2110744,
2020-05-21 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,3.8752851,
2020-05-22 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.0619636,
2020-05-23 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.3442287,
2020-05-24 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.99986184,
2020-05-25 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.8450154,
2020-05-26 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,0.7498467,
2020-05-27 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.6546056,
2020-05-28 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.4994519,
2020-05-29 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,3.3752208,
2020-05-30 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.6559482,
2020-05-31 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.5645113,
2020-06-01 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.9040227,
2020-06-02 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.2809527,
2020-06-03 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,3.8752851,
2020-06-04 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,5.8076935,
2020-06-05 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,3.841724,
2020-06-06 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.8459177,
2020-06-07 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.4040818,
2020-06-08 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.7478943,
2020-06-09 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.3442287,
2020-06-10 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.6546056,
2020-06-11 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.0902956,
2020-06-12 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.5318315,
2020-06-13 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,2.4040818,
2020-06-14 00:00:00+00:00,"Dhaka, Bangladesh",23.8103,90.4125,1.9376497,
