date,latitude,longitude,wind_speed,central_pressure,basin
2022-12-16 00:00:00,13.9000,64.9000, , ,NI
2020-02-25 15:00:00,-15.8364,116.240, , ,SI
2021-10-10 15:00:00,14.9000,-104.522, , ,EP
2023-09-17 03:00:00,13.5866,-140.786, , ,EP
2021-01-02 00:00:00,-10.7000,72.0000,40,991,SI
2020-10-08 21:00:00,24.6999,-137.843, , ,EP
2020-08-28 03:00:00,44.8274,125.760, , ,WP
2023-08-31 00:00:00,15.3000,154.500, , ,WP
2022-07-29 00:00:00,15.6000,-120.200,45,1000,EP
2023-08-30 09:00:00,20.5572,120.007, , ,WP
2023-10-10 03:00:00,18.2300,-101.013, , ,EP
2021-04-11 00:00:00,-24.3000,110.500,60,975,SI
2021-08-02 09:00:00,18.0498,-113.365, , ,EP
2023-10-14 06:00:00,36.4000,160.000, , ,WP
2020-09-29 12:00:00,36.6000,156.350,60,980,WP
2020-12-20 09:00:00,10.0169,114.644, , ,WP
2023-10-12 12:00:00,22.6000,144.300, , ,WP
2020-07-31 15:00:00,18.0937,129.615, , ,WP
2021-11-30 18:00:00,13.4500,136.825,45,992,WP
2022-01-29 12:00:00,-18.0000,69.9000, , ,SI
2023-09-04 03:00:00,23.2074,119.595, , ,WP
2021-07-19 18:00:00,19.2000,-119.100,35,1006,EP
2021-03-16 12:00:00,-22.9000,70.2000,33,999,SI
2021-01-19 12:00:00,-19.2571,82.6143,23,1005,SI
2023-10-22 21:00:00,14.0350,53.6574, , ,NI
2023-08-17 06:00:00,44.9000,139.400, , ,WP
2023-02-24 18:00:00,-23.4000,69.5000, , ,SI
2021-08-09 09:00:00,37.1780,135.580, , ,WP
2021-07-29 00:00:00,34.9750,116.875, ,990,WP
2021-01-20 03:00:00,-20.7073,79.5124, , ,SI
2020-05-12 00:00:00,10.1500,129.250, ,1006,WP
2021-07-30 15:00:00,38.9402,119.824, , ,WP
2020-11-21 00:00:00,11.3000,60.6000, , ,NI
2021-09-11 06:00:00,15.5750,109.675,50,992,WP
2020-12-21 00:00:00,-12.3000,64.3000,23,1006,SI
2024-01-21 00:00:00,-12.0000,92.3000, , ,SI
2021-11-10 09:00:00,11.7555,-115.630, , ,EP
2024-01-23 06:00:00,-13.0000,91.6000, , ,SI
2022-07-17 15:00:00,15.5774,-106.908, , ,EP
2021-12-03 03:00:00,21.7654,139.537, , ,WP
2020-02-27 00:00:00,-16.6000,114.500,70,972,SI
2024-02-20 03:00:00,-14.0077,58.1999, , ,SI
2023-08-06 18:00:00,22.2333,-112.333, , ,EP
2020-11-19 03:00:00,-20.4862,67.0701, , ,SI
2020-07-12 21:00:00,17.4650,124.933, , ,WP
2022-09-24 21:00:00,15.0121,124.193, , ,WP
2021-08-17 00:00:00,17.7000,-125.000,80,978,EP
